seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9409,b,32,Central DP,1.169146828438564,l2_error,0.8,5.3843464363939065e-06,
9409,b,32,Optimization only,0.007517025011031861,l2_error,0.8,5.3843464363939065e-06,
9409,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9410,c,1,One-shot corrected LDP,0.23130756396181254,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,1,Optimization only,0.0023814766248000025,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,2,One-shot corrected LDP,0.2205751155410049,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,2,Optimization only,0.00020878772232752222,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,4,One-shot corrected LDP,0.2195526395488902,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,4,Optimization only,0.00020621421149725203,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,8,One-shot corrected LDP,0.2195447507118036,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,8,Optimization only,0.00020621418662389234,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,16,One-shot corrected LDP,0.21954475024937856,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,16,Optimization only,0.00020621418662389234,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,32,One-shot corrected LDP,0.21954475024937856,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,c,32,Optimization only,0.00020621418662389234,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9410,b,1,Central DP,0.6317409416069119,l2_error,0.8,5.3843464363939065e-06,
9410,b,1,Optimization only,0.41992496130550017,l2_error,0.8,5.3843464363939065e-06,
9410,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9410,b,2,Central DP,0.6415049650318327,l2_error,0.8,5.3843464363939065e-06,
9410,b,2,Optimization only,0.1810844775681535,l2_error,0.8,5.3843464363939065e-06,
9410,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9410,b,4,Central DP,0.549700984172636,l2_error,0.8,5.3843464363939065e-06,
9410,b,4,Optimization only,0.034192827174407026,l2_error,0.8,5.3843464363939065e-06,
9410,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9410,b,8,Central DP,1.0612589966273525,l2_error,0.8,5.3843464363939065e-06,
9410,b,8,Optimization only,0.006989385471645762,l2_error,0.8,5.3843464363939065e-06,
9410,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9410,b,16,Central DP,1.100443623063727,l2_error,0.8,5.3843464363939065e-06,
9410,b,16,Optimization only,0.007066978758215293,l2_error,0.8,5.3843464363939065e-06,
9410,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9410,b,32,Central DP,1.247771661744304,l2_error,0.8,5.3843464363939065e-06,
9410,b,32,Optimization only,0.007066983671453831,l2_error,0.8,5.3843464363939065e-06,
9410,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9411,c,1,One-shot corrected LDP,0.24526765437730952,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
