seed,n,p,s_star,epsilon,delta,setting,noise_scale,coef,smoothness,sigma,label_bound,clip_rate,published_sigma,method,multiplier,l2_error,support
6304,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.6288652420043945,10.01427957312695,1.615,0.2581875,28.150582245874634,Label-LDP Lasso (ours),0.75,0.6679726243019104,31
6304,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.630113124847412,10.01427957312695,1.615,0.032625,28.150582245874634,Non-private,,0.06071371212601662,5
6304,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.630113124847412,10.01427957312695,1.615,0.032625,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.7406381368637085,5
6304,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.630113124847412,10.01427957312695,1.615,0.032625,28.150582245874634,Zero estimator,,0.9999999403953552,0
6304,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.630113124847412,10.01427957312695,1.615,0.032625,28.150582245874634,Label-LDP Lasso (ours),0.75,0.5253550410270691,28
6305,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.761860370635986,7.842271706420105,1.615,0.2585,24.102237481813713,Non-private,,0.15688014030456543,14
6305,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.761860370635986,7.842271706420105,1.615,0.2585,24.102237481813713,Wang-Xu Label-LDP-IHT,,0.9856793880462646,5
6305,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.761860370635986,7.842271706420105,1.615,0.2585,24.102237481813713,Zero estimator,,0.9999999403953552,0
6305,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.761860370635986,7.842271706420105,1.615,0.2585,24.102237481813713,Label-LDP Lasso (ours),0.75,0.6866394281387329,12
6305,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.705157279968262,7.842271706420105,1.615,0.2495,24.102237481813713,Non-private,,0.18057088553905487,11
6305,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.705157279968262,7.842271706420105,1.615,0.2495,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.4142135381698608,5
6305,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.705157279968262,7.842271706420105,1.615,0.2495,24.102237481813713,Zero estimator,,0.9999999403953552,0
6305,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.705157279968262,7.842271706420105,1.615,0.2495,24.102237481813713,Label-LDP Lasso (ours),0.75,1.0295711755752563,12
6305,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.6416401863098145,7.842271706420105,1.615,0.0305,24.102237481813713,Non-private,,0.16019488871097565,5
6305,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.6416401863098145,7.842271706420105,1.615,0.0305,24.102237481813713,Wang-Xu Label-LDP-IHT,,0.8759490847587585,5
6305,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.6416401863098145,7.842271706420105,1.615,0.0305,24.102237481813713,Zero estimator,,0.9999999403953552,0
6305,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.6416401863098145,7.842271706420105,1.615,0.0305,24.102237481813713,Label-LDP Lasso (ours),0.75,0.577914297580719,5
6305,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.655359268188477,8.597906550714795,1.615,0.2575,25.52313319351188,Non-private,,0.11515892297029495,16
6305,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.655359268188477,8.597906550714795,1.615,0.2575,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9619129300117493,5
6305,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.655359268188477,8.597906550714795,1.615,0.2575,25.52313319351188,Zero estimator,,0.9999999403953552,0
6305,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.655359268188477,8.597906550714795,1.615,0.2575,25.52313319351188,Label-LDP Lasso (ours),0.75,0.7626142501831055,10
6305,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.679403781890869,8.597906550714795,1.615,0.265,25.52313319351188,Non-private,,0.10476943105459213,22
6305,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.679403781890869,8.597906550714795,1.615,0.265,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9462956786155701,5
6305,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.679403781890869,8.597906550714795,1.615,0.265,25.52313319351188,Zero estimator,,0.9999999403953552,0
6305,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.679403781890869,8.597906550714795,1.615,0.265,25.52313319351188,Label-LDP Lasso (ours),0.75,0.7829533815383911,8
6305,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.620233058929443,8.597906550714795,1.615,0.0345,25.52313319351188,Non-private,,0.1116551011800766,5
6305,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.620233058929443,8.597906550714795,1.615,0.0345,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.8690792322158813,5
6305,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.620233058929443,8.597906550714795,1.615,0.0345,25.52313319351188,Zero estimator,,0.9999999403953552,0
6305,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.620233058929443,8.597906550714795,1.615,0.0345,25.52313319351188,Label-LDP Lasso (ours),0.75,0.6179406642913818,7
6305,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.652212142944336,9.32103373539826,1.615,0.24825,26.868993364057204,Non-private,,0.08101102709770203,16
6305,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.652212142944336,9.32103373539826,1.615,0.24825,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.9771896004676819,5
6305,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.652212142944336,9.32103373539826,1.615,0.24825,26.868993364057204,Zero estimator,,0.9999999403953552,0
6305,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.652212142944336,9.32103373539826,1.615,0.24825,26.868993364057204,Label-LDP Lasso (ours),0.75,0.8014339804649353,17
6305,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.645049095153809,9.32103373539826,1.615,0.257,26.868993364057204,Non-private,,0.10174845904111862,17
6305,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.645049095153809,9.32103373539826,1.615,0.257,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.7159715294837952,5
6305,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.645049095153809,9.32103373539826,1.615,0.257,26.868993364057204,Zero estimator,,0.9999999403953552,0
6305,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.645049095153809,9.32103373539826,1.615,0.257,26.868993364057204,Label-LDP Lasso (ours),0.75,0.6500586271286011,21
6305,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.662950038909912,9.32103373539826,1.615,0.0345,26.868993364057204,Non-private,,0.08220323175191879,5
6305,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.662950038909912,9.32103373539826,1.615,0.0345,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.8786349892616272,5
6305,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.662950038909912,9.32103373539826,1.615,0.0345,26.868993364057204,Zero estimator,,0.9999999403953552,0
6305,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.662950038909912,9.32103373539826,1.615,0.0345,26.868993364057204,Label-LDP Lasso (ours),0.75,0.6908261775970459,9
6305,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.645046710968018,10.01427957312695,1.615,0.2564375,28.150582245874634,Non-private,,0.06517378985881805,28
6305,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.645046710968018,10.01427957312695,1.615,0.2564375,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.5990011692047119,5
6305,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.645046710968018,10.01427957312695,1.615,0.2564375,28.150582245874634,Zero estimator,,0.9999999403953552,0
6305,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.645046710968018,10.01427957312695,1.615,0.2564375,28.150582245874634,Label-LDP Lasso (ours),0.75,0.565472424030304,23
6305,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.664758682250977,10.01427957312695,1.615,0.263625,28.150582245874634,Non-private,,0.06680856645107269,32
6305,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.664758682250977,10.01427957312695,1.615,0.263625,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.7581027746200562,5
6305,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.664758682250977,10.01427957312695,1.615,0.263625,28.150582245874634,Zero estimator,,0.9999999403953552,0
6305,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.664758682250977,10.01427957312695,1.615,0.263625,28.150582245874634,Label-LDP Lasso (ours),0.75,0.5705128908157349,20
6305,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.637589454650879,10.01427957312695,1.615,0.032125,28.150582245874634,Non-private,,0.06031208857893944,5
6305,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.637589454650879,10.01427957312695,1.615,0.032125,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.5648940205574036,5
6305,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.637589454650879,10.01427957312695,1.615,0.032125,28.150582245874634,Zero estimator,,0.9999999403953552,0
6305,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.637589454650879,10.01427957312695,1.615,0.032125,28.150582245874634,Label-LDP Lasso (ours),0.75,0.4395524859428406,27
6306,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.60715389251709,7.842271706420105,1.615,0.234,24.102237481813713,Non-private,,0.2143290489912033,13
