seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9403,c,32,Optimization only,0.00013230428208797353,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,b,1,Central DP,0.5024772781784274,l2_error,0.8,5.3843464363939065e-06,
9403,b,1,Optimization only,0.4195678521241839,l2_error,0.8,5.3843464363939065e-06,
9403,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9403,b,2,Central DP,0.5122677589494475,l2_error,0.8,5.3843464363939065e-06,
9403,b,2,Optimization only,0.18118247886161246,l2_error,0.8,5.3843464363939065e-06,
9403,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9403,b,4,Central DP,0.6356659093715151,l2_error,0.8,5.3843464363939065e-06,
9403,b,4,Optimization only,0.03496604020642293,l2_error,0.8,5.3843464363939065e-06,
9403,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9403,b,8,Central DP,0.9400092093857186,l2_error,0.8,5.3843464363939065e-06,
9403,b,8,Optimization only,0.007266871341176028,l2_error,0.8,5.3843464363939065e-06,
9403,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9403,b,16,Central DP,1.1445409375764852,l2_error,0.8,5.3843464363939065e-06,
9403,b,16,Optimization only,0.0072131890474658,l2_error,0.8,5.3843464363939065e-06,
9403,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9403,b,32,Central DP,1.2119961829605082,l2_error,0.8,5.3843464363939065e-06,
9403,b,32,Optimization only,0.007213224167200803,l2_error,0.8,5.3843464363939065e-06,
9403,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9404,c,1,One-shot corrected LDP,0.09018316050354808,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,1,Optimization only,0.0033449516741791167,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,2,One-shot corrected LDP,0.14100420536721078,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,2,Optimization only,0.0001556559073285984,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,4,One-shot corrected LDP,0.14751800206724958,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
